SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,June-23-2023,Condo/Co-op,740 Morin St #8,Ottawa,ON,K1K 3G9,400000,3,1.5,Castle Heights,,,1976,,,416,Sold,,,https://www.redfin.com/on/ottawa/740-Morin-St-K1K-4C7/unit-8/home/149695114,OREB,1339933,Y,Y,45.4360461,-75.6454444
PAST SALE,June-23-2023,Condo/Co-op,2166 Loyola Ave #86,Ottawa,ON,K1J 8H5,455000,3,1.5,Beacon Hill,,,1973,,,360,Sold,,,https://www.redfin.com/on/ottawa/2166-Loyola-Ave-K1J-8H5/unit-86/home/150846137,OREB,1345199,Y,Y,45.4511545,-75.5905222
PAST SALE,June-23-2023,Single Family Residential,1809 Applegrove Crt,Gloucester,ON,K1J 6S4,615000,2,1.5,Beacon Hill South,,6534,1973,,,,Sold,,,https://www.redfin.com/on/ottawa/1809-Applegrove-Crt-K1J-6S4/home/150633979,OREB,1346767,Y,Y,45.4418579,-75.6054889
PAST SALE,June-23-2023,Condo/Co-op,250 Brittany Dr #101,Ottawa,ON,K1K 4M1,313900,2,1.0,Viscount Alexander Park,,,1986,,,385,Sold,,,https://www.redfin.com/on/ottawa/250-Brittany-Dr-K1K-4R2/unit-101/home/149427529,OREB,1344555,Y,Y,45.4450311,-75.6470377
PAST SALE,June-24-2023,Single Family Residential,596 La Verendrye Dr,Ottawa,ON,K1J 7B8,1035000,4,3.5,Beacon Hill North,,6000,1964,,,,Sold,,,https://www.redfin.com/on/ottawa/596-La-Verendrye-Dr-K1J-7B8/home/150547606,OREB,1348176,Y,Y,45.4577226,-75.606355
PAST SALE,June-25-2023,Single Family Residential,1931 Marquis Ave,Ottawa,ON,K1J 8J1,920000,4,2.5,Rothwell Ridge / Beacon Hill N,,7410,1974,,,,Sold,,,https://www.redfin.com/on/ottawa/1931-Marquis-Ave-K1J-8J1/home/150726001,OREB,1346424,Y,Y,45.4459105,-75.6031514
PAST SALE,June-27-2023,Single Family Residential,613 Gaines Dr,Ottawa,ON,K1J 7W7,906700,4,2.5,Rothwell Village,,6516,1970,,,,Sold,,,https://www.redfin.com/on/ottawa/613-Gaines-Dr-K1J-7W7/home/150772685,OREB,1346610,Y,Y,45.4554844,-75.6078516
PAST SALE,June-27-2023,Single Family Residential,1038 Riviera Dr,Ottawa,ON,K1K 0N8,662500,3,1.5,Viscount Alexander Park,,3113,1968,,,,Sold,,,https://www.redfin.com/on/ottawa/1038-Riviera-Dr-K1K-0N8/home/149599334,OREB,1341828,Y,Y,45.4467543,-75.6480001
PAST SALE,June-28-2023,Single Family Residential,543 Dunbrack St,Ottawa,ON,K1K 1J4,636500,3,3.0,Overbrook/castle Heights,,5237,1952,,,,Sold,,,https://www.redfin.com/on/ottawa/543-Dunbrack-St-K1K-1J4/home/149516064,OREB,1344846,Y,Y,45.4296293,-75.6437904
PAST SALE,June-28-2023,Single Family Residential,1400 Plumber Ave,Ottawa,ON,K1K 4A9,780000,3,2.0,Carson Meadows,,5784,1972,,,,Sold,,,https://www.redfin.com/on/ottawa/1400-Plumber-Ave-K1K-4A9/home/149476238,OREB,1346828,Y,Y,45.4384366,-75.6250936
PAST SALE,June-29-2023,Single Family Residential,42 Amberly Pl,Ottawa,ON,K1J 8A1,1570000,6,3.5,Rothwell Heights,,11964,1971,,,,Sold,,,https://www.redfin.com/on/ottawa/42-Amberly-Pl-K1J-8A1/home/150520833,OREB,1347858,Y,Y,45.4476093,-75.6141545
PAST SALE,June-29-2023,Condo/Co-op,1014 Redtail Pvt,Ottawa,ON,K1J 0A9,420000,2,2.5,Cyrville,,,2007,,,374,Sold,,,https://www.redfin.com/on/ottawa/1014-Redtail-Pvt-K1J-0A9/home/150795808,OREB,1343138,Y,Y,45.4326025,-75.6347187
PAST SALE,June-29-2023,Single Family Residential,2025 Kings Grove Cres,Ottawa,ON,K1J 6E9,741000,5,2.0,Beacon Hill North,,6484,1971,,,,Sold,,,https://www.redfin.com/on/ottawa/2025-Kings-Grove-Cres-K1J-6E9/home/150770335,OREB,1348036,Y,Y,45.4601441,-75.6052168
PAST SALE,June-30-2023,Condo/Co-op,1339 Perez Cres,Ottawa,ON,K1J 8T9,347000,3,1.5,Carson Grove,,,1979,,,425,Sold,,,https://www.redfin.com/on/ottawa/1339-Perez-Cres-K1J-8T9/home/150660833,OREB,1344696,Y,Y,45.4283662,-75.6243253
PAST SALE,June-30-2023,Condo/Co-op,515 St Laurent Blvd #2109,Ottawa,ON,K1K 3X5,289000,2,1.0,Viscount Alexander Park,,,1972,,,722,Sold,,,https://www.redfin.com/on/ottawa/515-St-Laurent-Blvd-K1K-3X4/unit-2109/home/149382257,OREB,1344254,Y,Y,45.4441568,-75.6475355
PAST SALE,July-3-2023,Condo/Co-op,2020 Jasmine Cres #513,Ottawa,ON,K1J 9K5,255000,2,1.0,Beacon Hill South,,,1974,,,597,Sold,,,https://www.redfin.com/on/ottawa/2020-Jasmine-Cres-K1J-8K5/unit-513/home/150823119,OREB,1344038,Y,Y,45.4397788,-75.5937407
PAST SALE,July-3-2023,Condo/Co-op,567 Takamose Pvt,Ottawa,ON,K1K 4Z4,510000,2,1.5,Wateridge Village,,,2021,,,267,Sold,,,https://www.redfin.com/on/ottawa/567-Takamose-Pvt-K1K/home/177326829,OREB,1345013,Y,Y,45.4512169,-75.6289525
PAST SALE,July-4-2023,Single Family Residential,2140 Grafton Cres,Ottawa,ON,K1J 6K8,972900,4,2.5,Beacon Hill North,,5700,1967,,,,Sold,,,https://www.redfin.com/on/ottawa/2140-Grafton-Cres-K1J-6K8/home/150705992,OREB,1345340,Y,Y,45.4539948,-75.5953682
PAST SALE,July-5-2023,Condo/Co-op,2061 Jasmine Cres #82,Ottawa,ON,K1J 7W2,415000,4,2.0,Beacon Hill,,,1975,,,504,Sold,,,https://www.redfin.com/on/ottawa/2061-Jasmine-Cres-K1J-7W2/unit-82/home/150809287,OREB,1345903,Y,Y,45.4416504,-75.5955567
